texto,etiqueta
La economía creció un 2% en el segundo trimestre.,0
Un estudio revela que el 90% de las personas prefiere el chocolate negro.,0
Un asteroide gigante se acerca peligrosamente a la Tierra.,1
Nuevo medicamento milagroso cura el resfriado en minutos.,1
Se descubre una ciudad antigua en el fondo del océano.,0
Los científicos afirman que la luna está hecha de queso.,1
Las abejas han comenzado a hablar en un extraño idioma nuevo.,1
El presidente anuncia un aumento del 10% en el salario mínimo.,0
Se encuentra vida extraterrestre en Marte.,1
Las vacunas han erradicado una enfermedad mortal en todo el mundo.,0
esto es una prueba.,1
Guatemala es un país de norteamerica.,1
asdf.,1
Guatemala es un país de centroamerica.,0
Bernardo Arebalo fue electo como presidente de El Salvador.,1
Bernardo Arebalo fue electo como presidente de Guatemala.,0
Bernardo Arebalo será el presidente de Guatemala.,0